      2 ?        S      0:00 [kthreadd]
    272 ?        S      0:00  \_ [irq/38-GXTP7863]
    274 ?        I      0:02  \_ [kworker/u32:4-events_unbound]
    275 ?        I<     0:00  \_ [kworker/5:1H-kblockd]
    276 ?        I<     0:00  \_ [kworker/7:1H-kblockd]
    277 ?        I<     0:00  \_ [kworker/1:1H-kblockd]
    284 ?        I      0:01  \_ [kworker/6:2-events]
    327 ?        S      0:00  \_ [jbd2/nvme0n1p9-]
    328 ?        I<     0:00  \_ [ext4-rsv-conver]
    342 ?        I      0:00  \_ [kworker/0:2-events]
    378 ?        I<     0:00  \_ [kworker/3:1H-kblockd]
    396 ?        I<     0:00  \_ [kworker/11:1H-kblockd]
    411 ?        I<     0:00  \_ [ipmi-msghandler]
    460 ?        I<     0:00  \_ [kworker/10:1H-kblockd]
    472 ?        I      0:00  \_ [kworker/4:10-events]
    476 ?        I<     0:00  \_ [kworker/9:1H-kblockd]
    497 ?        I<     0:00  \_ [cfg80211]
    511 ?        S      0:00  \_ [irq/78-iwlwifi:]
    512 ?        S      0:00  \_ [irq/79-iwlwifi:]
    513 ?        S      0:00  \_ [irq/80-iwlwifi:]
    514 ?        S      0:00  \_ [irq/81-iwlwifi:]
    515 ?        S      0:00  \_ [irq/82-iwlwifi:]
    516 ?        S      0:00  \_ [irq/83-iwlwifi:]
    517 ?        S      0:00  \_ [irq/84-iwlwifi:]
    518 ?        S      0:00  \_ [irq/85-iwlwifi:]
    519 ?        S      0:00  \_ [irq/86-iwlwifi:]
    520 ?        S      0:00  \_ [irq/87-iwlwifi:]
    521 ?        S      0:00  \_ [irq/88-iwlwifi:]
    522 ?        S      0:00  \_ [irq/89-iwlwifi:]
    523 ?        S      0:00  \_ [irq/90-iwlwifi:]
    524 ?        S      0:00  \_ [irq/91-iwlwifi:]
    528 ?        I<     0:00  \_ [kworker/6:1H-kblockd]
    563 ?        I<     0:00  \_ [cryptd]
    565 ?        I<     0:00  \_ [kworker/u33:2-rb_allocator]
    585 ?        I<     0:00  \_ [amd_iommu_v2]
    660 ?        S      0:06  \_ [gfx]
    661 ?        S      0:00  \_ [comp_1.0.0]
    662 ?        S      0:00  \_ [comp_1.1.0]
    663 ?        S      0:00  \_ [comp_1.2.0]
    664 ?        S      0:00  \_ [comp_1.3.0]
    665 ?        S      0:00  \_ [comp_1.0.1]
    666 ?        S      0:00  \_ [comp_1.1.1]
    667 ?        S      0:00  \_ [comp_1.2.1]
    668 ?        S      0:00  \_ [comp_1.3.1]
    669 ?        S      0:00  \_ [sdma0]
    670 ?        S      0:00  \_ [vcn_dec]
    671 ?        S      0:00  \_ [vcn_enc0]
    672 ?        S      0:00  \_ [vcn_enc1]
    673 ?        S      0:00  \_ [jpeg_dec]
    695 ?        I      0:01  \_ [kworker/8:2-events]
    710 ?        I<     0:00  \_ [amdgpu_dm_hpd_r]
